id,source,family,base_rate,base_rate_pct,base_rate_se,description,dl_bits,program
count_high_cards_eq_0,template,COUNT,0.04588,4.59,0.000936,Number of high_cards is eq 0,,λh. count(high_cards) eq 0
(λ lt (n_unique_suits (second_half $0)) (n_unique_colors $0),grammar,ENUMERATED,0.0463,4.63,0.002101,Enumerated program (DL=28.6408 bits),28.6408,(λ lt (n_unique_suits (second_half $0)) (n_unique_colors $0))
(λ lt (max_rank (head (adjacent_pairs $0))) 5),grammar,ENUMERATED,0.0468,4.68,0.002112,Enumerated program (DL=26.4832 bits),26.4832,(λ lt (max_rank (head (adjacent_pairs $0))) 5)
(λ ge (count_suit $0 HEARTS) (rank_val (head $0))),grammar,ENUMERATED,0.0468,4.68,0.002112,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 HEARTS) (rank_val (head $0)))
(λ lt (length $0) (min_rank $0)),grammar,ENUMERATED,0.047,4.7,0.002116,Enumerated program (DL=25.0558 bits),25.0558,(λ lt (length $0) (min_rank $0))
(λ gt (count_suit (take 4 $0) CLUBS) 2),grammar,ENUMERATED,0.0472,4.72,0.002121,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 4 $0) CLUBS) 2)
(λ le (n_unique_suits $0) (n_unique_colors $0)),grammar,ENUMERATED,0.0473,4.73,0.002123,Enumerated program (DL=25.0558 bits),25.0558,(λ le (n_unique_suits $0) (n_unique_colors $0))
(λ lt (n_unique_colors (drop 1 $0)) 2),grammar,ENUMERATED,0.0484,4.84,0.002146,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_colors (drop 1 $0)) 2)
(λ ge (count_suit $0 SPADES) (rank_val (head $0))),grammar,ENUMERATED,0.0484,4.84,0.002146,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 SPADES) (rank_val (head $0)))
(λ lt (n_unique_suits (first_half $0)) 2),grammar,ENUMERATED,0.0486,4.86,0.00215,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_suits (first_half $0)) 2)
(λ lt (max_rank (second_half (reverse (second_half $0)))) 5),grammar,ENUMERATED,0.0487,4.87,0.002152,Enumerated program (DL=29.9527 bits),29.9527,(λ lt (max_rank (second_half (reverse (second_half $0)))) 5)
(λ ge (count_suit $0 DIAMONDS) (rank_val (head $0))),grammar,ENUMERATED,0.0487,4.87,0.002152,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 DIAMONDS) (rank_val (head $0)))
(λ ge (count_suit $0 DIAMONDS) (rank_val (last $0))),grammar,ENUMERATED,0.0493,4.93,0.002165,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 DIAMONDS) (rank_val (last $0)))
(λ not (has_color (take 4 $0) BLACK)),grammar,ENUMERATED,0.0501,5.01,0.002182,Enumerated program (DL=25.1751 bits),25.1751,(λ not (has_color (take 4 $0) BLACK))
(λ le (max_rank (first_half $0)) (length $0)),grammar,ENUMERATED,0.0503,5.03,0.002186,Enumerated program (DL=28.6408 bits),28.6408,(λ le (max_rank (first_half $0)) (length $0))
(λ lt (max_rank (head (second_half (adjacent_pairs $0)))) 5),grammar,ENUMERATED,0.0507,5.07,0.002194,Enumerated program (DL=30.1837 bits),30.1837,(λ lt (max_rank (head (second_half (adjacent_pairs $0)))) 5)
(λ ge (count_suit $0 SPADES) (rank_val (last $0))),grammar,ENUMERATED,0.051,5.1,0.0022,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 SPADES) (rank_val (last $0)))
(λ lt (n_unique_suits (second_half $0)) 2),grammar,ENUMERATED,0.0514,5.14,0.002208,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_suits (second_half $0)) 2)
(λ ge (count_suit $0 CLUBS) (rank_val (last $0))),grammar,ENUMERATED,0.0523,5.23,0.002226,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 CLUBS) (rank_val (last $0)))
(λ lt (mod (max_rank $0) 5) 1),grammar,ENUMERATED,0.053,5.3,0.00224,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (max_rank $0) 5) 1)
(λ not (has_color (drop 2 $0) RED)),grammar,ENUMERATED,0.0533,5.33,0.002246,Enumerated program (DL=25.1751 bits),25.1751,(λ not (has_color (drop 2 $0) RED))
(λ not (has_color (drop 2 $0) BLACK)),grammar,ENUMERATED,0.0533,5.33,0.002246,Enumerated program (DL=25.1751 bits),25.1751,(λ not (has_color (drop 2 $0) BLACK))
(λ gt (count_suit (second_half (second_half $0)) CLUBS) 1),grammar,ENUMERATED,0.0535,5.35,0.00225,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (second_half $0)) CLUBS) 1)
(λ ge (count_suit $0 CLUBS) (rank_val (head $0))),grammar,ENUMERATED,0.0536,5.36,0.002252,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 CLUBS) (rank_val (head $0)))
skip2_same_color,template,ADJACENT,0.05456,5.46,0.001016,Every pair at offset 2 satisfies same_color,,"λh. ∀i. same_color(h[i], h[i+2])"
(λ gt (count_suit (second_half (first_half $0)) DIAMONDS) 1),grammar,ENUMERATED,0.0552,5.52,0.002284,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (first_half $0)) DIAMONDS) 1)
(λ ge (count_suit $0 HEARTS) (rank_val (last $0))),grammar,ENUMERATED,0.0552,5.52,0.002284,Enumerated program (DL=30.2257 bits),30.2257,(λ ge (count_suit $0 HEARTS) (rank_val (last $0)))
(λ le (max_rank (second_half $0)) (length $0)),grammar,ENUMERATED,0.0553,5.53,0.002286,Enumerated program (DL=28.6408 bits),28.6408,(λ le (max_rank (second_half $0)) (length $0))
(λ gt (count_suit (head (adjacent_pairs $0)) HEARTS) 1),grammar,ENUMERATED,0.0555,5.55,0.00229,Enumerated program (DL=29.6532 bits),29.6532,(λ gt (count_suit (head (adjacent_pairs $0)) HEARTS) 1)
(λ lt (n_unique_ranks (second_half (first_half $0))) 2),grammar,ENUMERATED,0.056,5.6,0.002299,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (n_unique_ranks (second_half (first_half $0))) 2)
shift_2_same_color,template,SHIFT,0.05606,5.61,0.001029,At offset 2: same_color,,"λh. ∀i. same_color(h[i], h[i+2])"
(λ ge (n_unique_colors (first_half $0)) (rank_val (head $0)),grammar,ENUMERATED,0.0561,5.61,0.002301,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_colors (first_half $0)) (rank_val (head $0)))
(λ not (has_color (take 4 $0) RED)),grammar,ENUMERATED,0.0566,5.66,0.002311,Enumerated program (DL=25.1751 bits),25.1751,(λ not (has_color (take 4 $0) RED))
Ends_same_rank_val,template,ENDS,0.05664,5.66,0.001034,First and last cards have the same rank_val,,λh. rank_val(first(h)) = rank_val(last(h))
(λ ge (n_unique_colors (second_half $0)) (rank_val (head $0),grammar,ENUMERATED,0.0568,5.68,0.002315,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_colors (second_half $0)) (rank_val (head $0)))
(λ lt (n_unique_ranks (head (second_half (adjacent_pairs $0),grammar,ENUMERATED,0.0573,5.73,0.002324,Enumerated program (DL=30.1837 bits),30.1837,(λ lt (n_unique_ranks (head (second_half (adjacent_pairs $0)))) 2)
(λ gt (count_suit (head (adjacent_pairs $0)) DIAMONDS) 1),grammar,ENUMERATED,0.0578,5.78,0.002334,Enumerated program (DL=29.6532 bits),29.6532,(λ gt (count_suit (head (adjacent_pairs $0)) DIAMONDS) 1)
count_aces_eq_2,template,COUNT,0.05784,5.78,0.001044,Number of aces is eq 2,,λh. count(aces) eq 2
count_even_ranks_eq_1,template,COUNT,0.05788,5.79,0.001044,Number of even_ranks is eq 1,,λh. count(even_ranks) eq 1
(λ lt (n_unique_ranks (second_half (second_half $0))) 2),grammar,ENUMERATED,0.0581,5.81,0.002339,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (n_unique_ranks (second_half (second_half $0))) 2)
(λ lt (n_unique_ranks (second_half (reverse (second_half $0),grammar,ENUMERATED,0.0583,5.83,0.002343,Enumerated program (DL=29.9527 bits),29.9527,(λ lt (n_unique_ranks (second_half (reverse (second_half $0)))) 2)
Ends_same_rank,template,ENDS,0.0586,5.86,0.00105,First and last cards have the same rank,,λh. rank(first(h)) = rank(last(h))
(λ ge (n_unique_colors (first_half $0)) (rank_val (last $0)),grammar,ENUMERATED,0.0586,5.86,0.002349,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_colors (first_half $0)) (rank_val (last $0)))
count_aces_ge_2,template,COUNT,0.05902,5.9,0.001054,Number of aces is ge 2,,λh. count(aces) ge 2
(λ gt (count_suit (second_half (second_half $0)) DIAMONDS) 1,grammar,ENUMERATED,0.0592,5.92,0.00236,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (second_half $0)) DIAMONDS) 1)
(λ gt (count_suit (second_half (first_half $0)) HEARTS) 1),grammar,ENUMERATED,0.0595,5.95,0.002366,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (first_half $0)) HEARTS) 1)
skip2_same_parity,template,ADJACENT,0.05962,5.96,0.001059,Every pair at offset 2 satisfies same_parity,,"λh. ∀i. same_parity(h[i], h[i+2])"
(λ gt (count_suit (head (adjacent_pairs $0)) CLUBS) 1),grammar,ENUMERATED,0.0604,6.04,0.002382,Enumerated program (DL=29.6532 bits),29.6532,(λ gt (count_suit (head (adjacent_pairs $0)) CLUBS) 1)
(λ gt (n_unique_ranks (second_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.0605,6.05,0.002384,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (n_unique_ranks (second_half $0)) (n_unique_suits $0))
(λ lt (n_unique_ranks (head (adjacent_pairs $0))) 2),grammar,ENUMERATED,0.061,6.1,0.002393,Enumerated program (DL=26.4832 bits),26.4832,(λ lt (n_unique_ranks (head (adjacent_pairs $0))) 2)
(λ ge (n_unique_colors (second_half $0)) (rank_val (last $0),grammar,ENUMERATED,0.061,6.1,0.002393,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_colors (second_half $0)) (rank_val (last $0)))
(λ gt (count_suit (second_half (second_half $0)) HEARTS) 1),grammar,ENUMERATED,0.0611,6.11,0.002395,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (second_half $0)) HEARTS) 1)
(λ gt (count_suit (head (adjacent_pairs $0)) SPADES) 1),grammar,ENUMERATED,0.0611,6.11,0.002395,Enumerated program (DL=29.6532 bits),29.6532,(λ gt (count_suit (head (adjacent_pairs $0)) SPADES) 1)
(λ gt (n_unique_ranks (second_half $0)) (rank_val (head $0)),grammar,ENUMERATED,0.0612,6.12,0.002397,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_ranks (second_half $0)) (rank_val (head $0)))
(λ gt (n_unique_ranks (first_half $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.0615,6.15,0.002402,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (n_unique_ranks (first_half $0)) (n_unique_suits $0))
(λ gt (n_unique_ranks (first_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.0616,6.16,0.002404,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_ranks (first_half $0)) (rank_val (head $0)))
(λ gt (count_suit (second_half (second_half $0)) SPADES) 1),grammar,ENUMERATED,0.0622,6.22,0.002415,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (second_half $0)) SPADES) 1)
(λ gt (count_suit (second_half (first_half $0)) CLUBS) 1),grammar,ENUMERATED,0.0623,6.23,0.002417,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (first_half $0)) CLUBS) 1)
(λ gt (count_suit (second_half (first_half $0)) SPADES) 1),grammar,ENUMERATED,0.0629,6.29,0.002428,Enumerated program (DL=29.5377 bits),29.5377,(λ gt (count_suit (second_half (first_half $0)) SPADES) 1)
adj_rank_diff_le4,template,ADJACENT,0.06352,6.35,0.001091,Every pair at offset 1 satisfies rank_diff_le4,,"λh. ∀i. rank_diff_le4(h[i], h[i+1])"
(λ gt (n_unique_ranks (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.0642,6.42,0.002451,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_ranks (first_half $0)) (rank_val (last $0)))
(λ gt (n_unique_ranks (second_half $0)) (rank_val (last $0)),grammar,ENUMERATED,0.0652,6.52,0.002469,Enumerated program (DL=30.6408 bits),30.6408,(λ gt (n_unique_ranks (second_half $0)) (rank_val (last $0)))
skip2_alt_color,template,ADJACENT,0.0663,6.63,0.001113,Every pair at offset 2 satisfies alt_color,,"λh. ∀i. alt_color(h[i], h[i+2])"
(λ gt (count_suit $0 SPADES) (min_rank $0)),grammar,ENUMERATED,0.068,6.8,0.002517,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 SPADES) (min_rank $0))
(λ gt (count_suit $0 DIAMONDS) (min_rank $0)),grammar,ENUMERATED,0.0683,6.83,0.002523,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 DIAMONDS) (min_rank $0))
(λ lt (n_unique_suits $0) 3),grammar,ENUMERATED,0.0696,6.96,0.002545,Enumerated program (DL=19.1978 bits),19.1978,(λ lt (n_unique_suits $0) 3)
(λ lt (n_unique_ranks (take 5 $0)) 4),grammar,ENUMERATED,0.0721,7.21,0.002587,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_ranks (take 5 $0)) 4)
(λ lt (n_unique_ranks (drop 1 $0)) 4),grammar,ENUMERATED,0.0727,7.27,0.002596,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_ranks (drop 1 $0)) 4)
(λ gt (count_suit $0 CLUBS) (min_rank $0)),grammar,ENUMERATED,0.073,7.3,0.002601,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 CLUBS) (min_rank $0))
(λ lt (rank_val (at $0 4)) 3),grammar,ENUMERATED,0.0738,7.38,0.002614,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 4)) 3)
(λ lt (rank_val (head $0)) 3),grammar,ENUMERATED,0.0744,7.44,0.002624,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (head $0)) 3)
(λ lt (rank_val (at $0 1)) 3),grammar,ENUMERATED,0.0746,7.46,0.002627,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 1)) 3)
(λ gt (count_suit $0 HEARTS) (min_rank $0)),grammar,ENUMERATED,0.0746,7.46,0.002627,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 HEARTS) (min_rank $0))
(λ lt (mod 5 (rank_val (last $0))) 1),grammar,ENUMERATED,0.0747,7.47,0.002629,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 5 (rank_val (last $0))) 1)
(λ lt (mod 5 (rank_val (head $0))) 1),grammar,ENUMERATED,0.0754,7.54,0.00264,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 5 (rank_val (head $0))) 1)
(λ lt (rank_val (last (first_half $0))) 3),grammar,ENUMERATED,0.0756,7.56,0.002644,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (last (first_half $0))) 3)
skip2_same_rank_or_color,template,ADJACENT,0.07582,7.58,0.001184,Every pair at offset 2 satisfies same_rank_or_color,,"λh. ∀i. same_rank_or_color(h[i], h[i+2])"
(λ le (rank_val (last $0)) (n_unique_colors $0)),grammar,ENUMERATED,0.0759,7.59,0.002648,Enumerated program (DL=27.0558 bits),27.0558,(λ le (rank_val (last $0)) (n_unique_colors $0))
(λ gt (count_suit $0 (get_suit (head $0))) 3),grammar,ENUMERATED,0.076,7.6,0.00265,Enumerated program (DL=30.2257 bits),30.2257,(λ gt (count_suit $0 (get_suit (head $0))) 3)
(λ lt (rank_val (last $0)) 3),grammar,ENUMERATED,0.0775,7.75,0.002674,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (last $0)) 3)
(λ lt (mod 3 (rank_val (last $0))) 1),grammar,ENUMERATED,0.0775,7.75,0.002674,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 3 (rank_val (last $0))) 1)
(λ gt (count_suit $0 (get_suit (last $0))) 3),grammar,ENUMERATED,0.0779,7.79,0.00268,Enumerated program (DL=30.2257 bits),30.2257,(λ gt (count_suit $0 (get_suit (last $0))) 3)
(λ lt (rank_val (head (second_half $0))) 3),grammar,ENUMERATED,0.0782,7.82,0.002685,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (head (second_half $0))) 3)
(λ lt (mod 3 (rank_val (head $0))) 1),grammar,ENUMERATED,0.0788,7.88,0.002694,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 3 (rank_val (head $0))) 1)
(λ lt (rank_val (head $0)) (count_color $0 RED)),grammar,ENUMERATED,0.0832,8.32,0.002762,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (rank_val (head $0)) (count_color $0 RED))
(λ has_color (first_half (drop (n_unique_ranks $0) $0)) RED),grammar,ENUMERATED,0.0844,8.44,0.00278,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (first_half (drop (n_unique_ranks $0) $0)) RED)
(λ lt (rank_val (head $0)) (count_color $0 BLACK)),grammar,ENUMERATED,0.0854,8.54,0.002795,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (rank_val (head $0)) (count_color $0 BLACK))
(λ lt (rank_val (last $0)) (count_color $0 BLACK)),grammar,ENUMERATED,0.0856,8.56,0.002798,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (rank_val (last $0)) (count_color $0 BLACK))
(λ le (max_rank (head (adjacent_pairs $0))) 5),grammar,ENUMERATED,0.0871,8.71,0.00282,Enumerated program (DL=26.4832 bits),26.4832,(λ le (max_rank (head (adjacent_pairs $0))) 5)
(λ gt (count_suit (take 5 $0) DIAMONDS) 2),grammar,ENUMERATED,0.0877,8.77,0.002829,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 5 $0) DIAMONDS) 2)
(λ lt (rank_val (last $0)) (count_color $0 RED)),grammar,ENUMERATED,0.0881,8.81,0.002834,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (rank_val (last $0)) (count_color $0 RED))
(λ le (max_rank (head (second_half (adjacent_pairs $0)))) 5),grammar,ENUMERATED,0.0885,8.85,0.00284,Enumerated program (DL=30.1837 bits),30.1837,(λ le (max_rank (head (second_half (adjacent_pairs $0)))) 5)
(λ has_color (first_half (drop (n_unique_ranks $0) $0)) BLAC,grammar,ENUMERATED,0.0889,8.89,0.002846,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (first_half (drop (n_unique_ranks $0) $0)) BLACK)
rank_range_le_6,template,GLOBAL,0.08942,8.94,0.001276,Rank range (max - min) is at most 6,,λh. max_rank(h) - min_rank(h) ≤ 6
(λ le (max_rank (second_half (reverse (second_half $0)))) 5),grammar,ENUMERATED,0.0896,8.96,0.002856,Enumerated program (DL=29.9527 bits),29.9527,(λ le (max_rank (second_half (reverse (second_half $0)))) 5)
(λ le (max_rank (second_half (first_half $0))) 5),grammar,ENUMERATED,0.0902,9.02,0.002865,Enumerated program (DL=26.3678 bits),26.3678,(λ le (max_rank (second_half (first_half $0))) 5)
(λ gt (count_suit (drop 1 $0) DIAMONDS) 2),grammar,ENUMERATED,0.0908,9.08,0.002873,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 1 $0) DIAMONDS) 2)
(λ gt (count_suit (take 5 $0) HEARTS) 2),grammar,ENUMERATED,0.0913,9.13,0.00288,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 5 $0) HEARTS) 2)
(λ le (n_unique_ranks $0) (n_unique_suits $0)),grammar,ENUMERATED,0.0919,9.19,0.002889,Enumerated program (DL=25.0558 bits),25.0558,(λ le (n_unique_ranks $0) (n_unique_suits $0))
(λ le (max_rank (second_half (second_half $0))) 5),grammar,ENUMERATED,0.0924,9.24,0.002896,Enumerated program (DL=26.3678 bits),26.3678,(λ le (max_rank (second_half (second_half $0))) 5)
(λ lt (mod 5 (min_rank $0)) 1),grammar,ENUMERATED,0.0925,9.25,0.002897,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod 5 (min_rank $0)) 1)
(λ lt 4 (count_color $0 BLACK)),grammar,ENUMERATED,0.0926,9.26,0.002899,Enumerated program (DL=22.0052 bits),22.0052,(λ lt 4 (count_color $0 BLACK))
(λ gt (count_suit (drop 1 $0) HEARTS) 2),grammar,ENUMERATED,0.0933,9.33,0.002909,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 1 $0) HEARTS) 2)
(λ lt 4 (count_color $0 RED)),grammar,ENUMERATED,0.0937,9.37,0.002914,Enumerated program (DL=22.0052 bits),22.0052,(λ lt 4 (count_color $0 RED))
(λ le (- (max_rank $0) 5) 5),grammar,ENUMERATED,0.0937,9.37,0.002914,Enumerated program (DL=28.3678 bits),28.3678,(λ le (- (max_rank $0) 5) 5)
(λ gt (count_suit (take 5 $0) CLUBS) 2),grammar,ENUMERATED,0.0943,9.43,0.002922,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 5 $0) CLUBS) 2)
(λ gt (count_suit (take 5 $0) SPADES) 2),grammar,ENUMERATED,0.0955,9.55,0.002939,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (take 5 $0) SPADES) 2)
(λ gt (count_suit (drop 1 $0) SPADES) 2),grammar,ENUMERATED,0.0963,9.63,0.00295,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 1 $0) SPADES) 2)
