token,rule_id,family,base_rate,base_rate_se,base_rate_pct,n_true,tree_size,tree_depth,n_primitives,level,name
r60x,AP_len3_step1_anywhere,AP,0.3623,0.00152,36.23,36230,1,1,2,3,Three consecutive ranks (anywhere)
r43x,Exactly_one_club,COUNT,0.36652,0.001524,36.65,36652,3,3,3,1,Exactly one club (♣)
r58x,Halves_face_card_equal,HIER,0.48299,0.00158,48.3,48299,7,3,4,2,"Both halves have a face card, or neither does"
r4x,S_before_H,LOCAL,0.48727,0.001581,48.73,48727,4,2,3,1,Some ♠ appears before some ♥
r45x,Ends_same_color,LOCAL,0.4902,0.001581,49.02,49020,2,2,5,4,First and last share the color
r26x,Halves_hearts_presence_equal,HIER,0.49182,0.001581,49.18,49182,9,4,4,2,Both halves either have a ♥ or neither does
r31x,Ends_same_altcolor1,ALTCLR,0.49192,0.001581,49.19,49192,2,2,5,4,First and last are both Pointy or both Round
r66x,Halves_majority_suit_equal,HIER,0.52437,0.001579,52.44,52437,5,3,3,2,Both halves have 2+ same suit (or neither)
r54x,Halves_AP_len2_step1_equal,HIER,0.53225,0.001578,53.23,53225,5,3,3,2,Both halves have some ±1 rank pair (or both don't)
r55x,At_most_three_suits,COUNT,0.575,0.001563,57.5,57500,3,3,3,1,At most three suits appear
r11x,Half_or_more_same_suit,COUNT,0.6026,0.001547,60.26,60260,5,3,5,1,At least half the cards share a suit
r62x,Three_or_more_same_suit,GLOBAL,0.60491,0.001546,60.49,60491,3,3,3,1,At least 3 cards same suit
r12x,Halves_uniform_color_equal,HIER,0.64059,0.001517,64.06,64059,7,3,4,2,Both halves are uniform in color (or both not)
r65x,Halves_uniform_color_equal_r65x,HIER,0.64159,0.001516,64.16,64159,5,3,3,2,Both halves uniform color (or neither)
r2x,Has_pair_ranks,COUNT,0.654,0.001504,65.4,65400,4,3,4,1,At least one pair (same rank)
r64x,Two_pairs_suits,COUNT,0.79524,0.001276,79.52,79524,3,3,3,1,Two pairs (different suits)
r5x,AP_len3_anywhere_anyk,AP,0.80436,0.001254,80.44,80436,1,1,1,3,There is a 3-term rank pattern with equal steps (any step)
r53x,Halves_AP_len3_any_equal,HIER,0.81134,0.001237,81.13,81134,5,3,3,3,Both halves have a 3-term rank pattern (or both don't)
r14x,Halves_AP_step1_equal,HIER,0.98952,0.000322,98.95,98952,5,3,3,2,Both halves are runs (+1) or both aren't
